emit_way,substance,unit,total_quantity
Sum of release to all media (<1tonne),Sulphur hexafluoride,grams,525000
Sum of release to all media (<1tonne),Sulphuric acid,grams,208196092
Sum of release to all media (<1tonne),Tetrachloroethylene,grams,25870902
Sum of release to all media (<1tonne),Tetracycline hydrochloride,grams,1600
Sum of release to all media (<1tonne),Titanium tetrachloride,grams,449100
Sum of release to all media (<1tonne),Toluene,grams,671678138
Sum of release to all media (<1tonne),"Toluene-2,4-diisocyanate",grams,659300
Sum of release to all media (<1tonne),"Toluene-2,6-diisocyanate",grams,7000
Sum of release to all media (<1tonne),Toluenediisocyanate (mixed isomers),grams,5422300
Sum of release to all media (<1tonne),Total reduced sulphur (expressed as hydrogen sulphide),grams,43283026
Sum of release to all media (<1tonne),Trichloroethylene,grams,27954010
Sum of release to all media (<1tonne),Triethylamine,grams,4520901
Sum of release to all media (<1tonne),Vanadium (and its compounds),grams,8317533
Sum of release to all media (<1tonne),Vanadium (except when in an alloy) and its compounds,grams,13500300
Sum of release to all media (<1tonne),Vanadium (fume or dust),grams,2161000
Sum of release to all media (<1tonne),Vinyl acetate,grams,23290400
Sum of release to all media (<1tonne),Vinyl chloride,grams,2268500
Sum of release to all media (<1tonne),Vinylidene chloride,grams,51000
Sum of release to all media (<1tonne),Volatile Organic Compounds (VOCs),grams,1000000
Sum of release to all media (<1tonne),Xylene (all isomers),grams,518617178
Sum of release to all media (<1tonne),Xylene (mixed isomers),grams,88199000
Sum of release to all media (<1tonne),Zinc (and its compounds),grams,241397675
Sum of release to all media (<1tonne),Zinc (fume or dust),grams,1990000
Sum of release to all media (<1tonne),i-Butyl alcohol,grams,69384324
Sum of release to all media (<1tonne),m-Xylene,grams,1230000
Sum of release to all media (<1tonne),"n,n-Dimethylformamide",grams,1995800
Sum of release to all media (<1tonne),n-Butyl alcohol,grams,122679680
Sum of release to all media (<1tonne),n-Hexane,grams,424967179
Sum of release to all media (<1tonne),n-Nonylphenol (mixed isomers),grams,689000
Sum of release to all media (<1tonne),o-Cresol (and its salts),grams,25000
Sum of release to all media (<1tonne),o-Dichlorobenzene,grams,1622000
Sum of release to all media (<1tonne),o-Phenylphenol (and salts),grams,3000
Sum of release to all media (<1tonne),o-Xylene,grams,1092000
Sum of release to all media (<1tonne),"p,p'-Methylenebis(2-chloroaniline)",grams,74580
Sum of release to all media (<1tonne),"p,p'-Methylenedianiline",grams,100000
Sum of release to all media (<1tonne),p-Cresol (and its salts),grams,100000
Sum of release to all media (<1tonne),p-Dichlorobenzene,grams,2847000
Sum of release to all media (<1tonne),p-Nitrophenol (and its salts),grams,0
Sum of release to all media (<1tonne),p-Phenylenediamine (and its salts),grams,2110800
Sum of release to all media (<1tonne),p-Xylene,grams,1400000
Sum of release to all media (<1tonne),sec-Butyl alcohol,grams,517870
Sum of release to all media (<1tonne),tert-Butyl alcohol,grams,1863600
